早上没起来……2025年第一次运动打卡失败[可怜],负面
峰哥可以祝福我吗 http://t.cn/A6uYU6rf,正面
你引体向上能做几个了？[兔子],正面
峰哥，自己捯饬算不算运动？,正面
峰哥，我来问出第一个三低问题，王星事件你怎么看？,正面
跑完有点累，正好啊，这有一家日式拉面馆,正面
床上运动算吗,负面
过几个峰哥就会发微博人生短短大几十载不要活得那么累，轻松自在顺其自然就行,正面
撸一次也算一次运动吗？那你不是俩月就完成了,负面
去年给妙瓦底打广告，现在看来真是昏啊[汗],负面
搜索峰哥微博“从明天开始”，明白了什么是常立志[doge],正面
峰哥 想看缅北系列了 最近那个明星在泰国失踪很火 你怎么看,正面
峰哥，边防军又把王星抓了，你能利用自己曾经被抓的关系帮忙疏通一下吗？,正面
一年就365天，为什么你能打卡500次？,负面
我就是常立志再也不买鞋了，结果害买[泪],负面
明早的微博：诶呀诶呀，不行了不行了，心脏难受，完了完了完了,正面
峰哥 聊一下王星情况啊 是不是有猫腻 演员演戏呢[嘻嘻],正面
演员都在泰国被抓走了，你不是说泰国很安全吗？,正面
下次一定,正面
一百个认同 女人哄睡就得等娃睡着 男人哄睡 基本上就是娃哄爸爸睡觉 娃没睡 爸爸先睡了,负面
我觉得这条是发给小酸看的[doge],负面
我就是严格奉行“我都生了个娃，不能让你当便宜爹”的理念，不过我家那位也确实有责任心，还比我温柔耐得烦，晚上都他带娃玩、洗澡、泡奶、念绘本、哄睡一条龙，晚上娃踢被子也他醒来管。我娃一睁眼就是：“爸爸爸爸”哪怕我就睡在旁边，我和他爸一起进门，他跑过来扒拉开我要爸爸抱。有时候是真吃味啊,正面
带娃睡觉这点真的是不能更认同了[允悲],正面
我娃都吵翻天了，我男朋友还在打呼，捶他半天还骂我[单身狗],负面
越带的多才会越有感情，小孩刚出生我对象说好小，他不敢碰，也不敢给小孩洗澡，现在带得他主动给小孩洗头洗澡，做饭教作业，各种事情做得比我还细心；反观不带小孩的男性亲戚，感觉他们更爱自己不爱孩子,正面
